Image_Name,Seed,Area,Length,Width,Orientation,Circularity,Eccentricity
PI_115358_005,24,824,80.37391138,13.33655551,-0.355494102,0.28717091,0.986137298
PI_115358_005,25,659,65.19126132,13.19661472,0.54839148,0.378973675,0.979296901
PI_115358_005,26,103,18.96428497,8.167303382,0.600152714,0.608703804,0.902510612
PI_115358_005,27,172,34.20478055,8.259514203,0.359707242,0.305200604,0.97040766
PI_115358_005,28,642,72.11084118,11.52071561,-0.281645092,0.300778114,0.98715524
PI_115358_005,29,738,75.74829796,12.59477798,0.451322829,0.306332406,0.986080023
PI_115358_005,30,463,56.98906944,11.92276721,-1.264935988,0.260308123,0.97787042
PI_115358_005,31,223,51.83970675,6.704828386,-1.201148178,0.235504116,0.991600605
PI_115358_005,32,792,74.55387771,13.84859089,0.651602231,0.33372089,0.98259651
PI_115358_005,33,469,56.21498565,10.86167897,0.831010135,0.374734923,0.98115609
PI_115358_005,34,207,61.55176312,5.256680678,-0.859281857,0.185974264,0.996346524
PI_115358_005,35,279,82.42889431,5.790709348,-0.086350005,0.116608729,0.997529349
PI_115358_005,36,669,82.96701315,10.66021164,0.301096965,0.226442068,0.991711148
PI_115358_005,37,713,78.82335501,11.91962071,0.717166207,0.256575446,0.988500224
PI_115358_005,38,806,69.10946019,14.89460307,0.474130629,0.428847802,0.976499004
PI_115358_005,39,179,70.56099016,4.24198724,-0.954645611,0.138285347,0.998191276
PI_115358_005,40,634,80.45234522,10.08417204,-1.424084273,0.268194359,0.992113415
PI_115358_005,41,803,78.82324757,13.66824984,-1.211572094,0.245954824,0.984850814
PI_115358_005,42,786,76.84239519,13.10035071,-0.183764749,0.331149949,0.985360553
PI_115358_005,43,637,75.42956884,12.05022415,0.692984418,0.254294816,0.987156752
PI_115358_005,44,343,65.57793948,8.57240151,1.440275266,0.180244695,0.99141922
PI_115358_005,45,481,67.62912297,10.83206325,0.159399098,0.196701932,0.987089668
PI_115358_005,46,654,73.36812915,12.40628063,-1.398620337,0.247207606,0.985599531
PI_115358_005,47,258,41.03593011,13.54696499,-0.313059028,0.228195199,0.943937408
PI_115358_005,48,702,75.25393087,12.206568,-0.870616713,0.324276641,0.986757072
PI_115358_005,49,141,32.59018801,9.777035558,-0.204567294,0.252889337,0.953939403
PI_115358_005,50,626,73.70941286,11.02494115,-0.564415165,0.272745801,0.988750679
PI_115358_005,51,653,74.72195578,11.57691218,-0.4554155,0.278500708,0.987924947
PI_115358_005,52,702,75.74451746,11.9964868,-1.342923107,0.303824815,0.987378085
PI_115358_005,53,129,45.00520566,4.065461635,-1.246662331,0.186262729,0.995911604
PI_115358_005,54,194,49.91045738,5.103740602,-1.024900775,0.216749912,0.994757917
PI_115358_005,55,642,68.1030701,12.14994676,-0.563239188,0.346372356,0.983957092
PI_115358_005,56,137,41.28345097,6.451182004,-0.078765944,0.239012952,0.987715076
PI_115358_005,57,787,73.61924981,15.34554663,-1.504719288,0.200495789,0.978034142
PI_115358_005,58,627,77.174667,11.06243031,0.206380008,0.239810941,0.989673103
PI_115358_005,59,623,72.04543453,12.00481321,-1.255668771,0.24654841,0.98601977
PI_115358_005,60,837,74.58021191,14.41726084,1.376995119,0.372294303,0.981137306
PI_115358_005,61,377,80.15467025,7.171646348,-0.364956031,0.169821019,0.995989284
PI_115358_005,62,108,28.92268006,4.910988707,-0.58272413,0.37469241,0.985479034
PI_115358_005,63,219,78.24701445,7.281282931,-1.051727558,0.119021237,0.995660962
PI_115358_005,64,105,26.2700364,12.05193672,-0.624490038,0.242462659,0.888554424
PI_115358_005,65,479,56.44124473,11.84591874,-0.676209426,0.272767405,0.977727038
PI_115358_005,66,417,70.54894869,7.86907284,1.557645137,0.229695554,0.993759876
PI_115358_005,67,286,56.33668209,17.58439554,-0.234107549,0.104949354,0.950039244
PI_115358_005,68,110,30.8503384,5.785941301,0.40955265,0.341058611,0.982255303
PI_115358_005,69,416,65.92502834,8.579257324,-0.786215278,0.286255672,0.991496078
PI_115358_005,70,314,57.67630583,9.934065766,0.234223825,0.179008468,0.985055322
PI_115358_005,71,664,66.01295157,13.2622482,-1.139593491,0.340048567,0.97961099
PI_115358_005,72,736,70.74343483,13.49825921,-1.04762082,0.326493669,0.9816278
PI_115358_005,73,201,67.5039053,6.725269782,-0.544294017,0.15140736,0.995024768
PI_115358_005,74,563,70.0251902,10.96642357,-1.272644035,0.255194407,0.987661024
PI_115358_005,75,467,74.03903041,14.98760475,0.746748874,0.110922864,0.979297059
PI_115358_005,76,106,15.68108482,9.815401063,-0.924332845,0.637840553,0.779872096
PI_115358_005,77,827,78.91529139,14.16804527,0.727448302,0.246092271,0.983751613
PI_115358_005,78,394,50.49183735,11.17042922,-1.048582527,0.327132482,0.975221121
PI_115358_005,79,529,58.95285708,11.5720727,-1.477103157,0.363761266,0.980545152
PI_115358_005,80,245,80.23349044,5.828476257,-0.063770534,0.133172969,0.997357939
PI_115358_005,81,696,65.12067478,13.78172021,0.727314464,0.403053371,0.977349086
PI_115358_005,82,102,23.36040364,11.69239708,-0.095515063,0.400136507,0.865723789
PI_115358_005,83,756,79.06442073,12.2289858,-1.093288706,0.302769883,0.987966007
PI_115358_005,84,130,37.74878183,4.935069804,-0.776653634,0.310210444,0.991417409
